time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D
2023-04-10 00:00:00,1.09004,1.09147,1.08996,1.09035,4261,2,0,1.0889922,1.0722385,1.0883195137446255,1.0778328338039591,1.0907991139908477,1.0907495404237282,1.0918785,1.096621407444184,1.087135592555816,1.0890580014135796,1.0908258333333334,1.0925936652530872,0.00041675966078447146,0.0008177590348508538,46.96,43.58,35.16550512163126,33.375174982590686
2023-04-10 04:00:00,1.09035,1.09067,1.08951,1.08962,4852,2,0,1.0890954000000002,1.072364,1.0883705132056207,1.0779501190397407,1.0905632911926784,1.090646854930662,1.09158,1.0960970654217186,1.0870629345782814,1.0891397503799736,1.090855,1.0925702496200262,0.0002843860796482023,0.0007110844438103235,43.35,36.05,33.6846254769558,33.064315856350284
2023-04-10 08:00:00,1.08962,1.09172,1.08907,1.09118,6067,2,0,1.0892248,1.07249115,1.0884806891583416,1.0780817596463106,1.0906866329541427,1.0906953226642382,1.0913365,1.0953617367662132,1.0873112632337867,1.0892907358822081,1.0909583333333333,1.0926259307844584,0.0003018781618961963,0.000629243187427498,52.2,56.24,44.82570806100228,37.89194621986322
2023-04-10 12:00:00,1.09117,1.09165,1.08471,1.08489,10655,2,0,1.0892476,1.07258685,1.088339877818799,1.078149503331422,1.0895273063633142,1.0901675660583983,1.090807,1.095274527730642,1.0863394722693582,1.087626647059092,1.0905975,1.0935683529409082,-0.0001896238039997833,0.00046546978914204174,30.55,21.7,30.728342902538447,36.41289214683228
2023-04-10 16:00:00,1.08488,1.08572,1.08313,1.08476,11640,2,0,1.0892772000000002,1.07269195,1.0881994904533558,1.0782152794176765,1.0885738450906515,1.0896759691439983,1.0902889999999998,1.0950301344659303,1.0855478655340693,1.0863322291218636,1.0898766666666666,1.0934211042114697,-0.0005829131071488636,0.0002557932098838607,30.26,21.37,25.05534934010849,33.53646676788318
2023-04-10 20:00:00,1.0848,1.0863,1.0848,1.0861399999999999,5578,2,0,1.0892928,1.07279955,1.0881187261218517,1.0782941323587942,1.0880870760725212,1.0893545174036348,1.0898075,1.0941647416761082,1.0854502583238919,1.085671722949483,1.0893916666666665,1.09311161038385,-0.0007743173975687245,4.9771088393343665e-05,37.4,34.86,15.212999104309782,23.66556378231901
2023-04-11 00:00:00,1.08595,1.0879,1.08566,1.08775,6059,2,0,1.0893928,1.07292415,1.088104266273936,1.0783882205940303,1.088019660858017,1.0892086521851225,1.0897109999999999,1.094159788152296,1.0852622118477038,1.0854370901611352,1.0890725,1.092707909838865,-0.0007870208456464134,-0.00011758729841460776,44.81,47.9,29.25870717841867,23.175685207612418
2023-04-11 04:00:00,1.08775,1.08877,1.0867,1.08825,8656,2,0,1.0894685999999998,1.0730629999999999,1.0881099813220168,1.0784863477522988,1.0880657286864137,1.089121501986475,1.0895945,1.0940681225839923,1.0851208774160077,1.0853251880526882,1.0888041666666666,1.092283145280645,-0.0007481187511699794,-0.00024369358896568212,47.01,51.66,42.558030668720086,29.009912317149613
2023-04-11 08:00:00,1.08825,1.09102,1.08808,1.09068,12855,2,0,1.089607,1.0732066,1.0882107663682121,1.0786076776254103,1.088588582949131,1.0892631836240683,1.089659,1.0941561052938538,1.085161894706146,1.0853638051939185,1.0887324999999999,1.0921011948060813,-0.000515268178560957,-0.0002980085068847371,56.47,66.39,60.95856819123287,44.258435346123974
2023-04-11 12:00:00,1.09067,1.09267,1.09023,1.0912,13203,2,0,1.0897531999999999,1.0733514,1.0883279912165176,1.0787329743654561,1.089110866359305,1.089439257840062,1.0897554999999999,1.0942976777842806,1.0852133222157192,1.0853409840573331,1.0888033333333333,1.0922656826093335,-0.0002854819102369177,-0.00029550318755517324,58.26,68.92,74.44694168122777,59.321180180393675
