Action,Position,Price,Balance,lot_size,Date,SL Price,TP Price,is_open,Step,Profit,Closed Balance
Open Long,long,1.08399,9998.0,10000.0,2024-04-10,1.07857005,1.0948299,False,,,
Open Long,long,1.08251,9996.0,10000.0,2024-04-10,1.0770974500000001,1.0933351,False,,,
Open Long,long,1.08204,9994.0,10000.0,2024-04-10,1.0766297999999999,1.0928604,False,,,
Open Long,long,1.08117,9992.0,10000.0,2024-04-10,1.07576415,1.0919817,False,,,
Open Long,long,1.08343,9990.0,10000.0,2024-04-10,1.07801285,1.0942642999999999,False,,,
Open Long,long,1.08348,9988.0,10000.0,2024-04-10,1.0780626,1.0943148,False,,,
Open Long,long,1.08224,9986.0,10000.0,2024-04-10,1.0768288000000001,1.0930624000000002,False,,,
Open Long,long,1.08268,9984.0,10000.0,2024-04-10,1.0772666000000002,1.0935068000000001,False,,,
Open Long,long,1.08344,9982.0,10000.0,2024-04-10,1.0780228,1.0942744,False,,,
Open Long,long,1.08388,9980.0,10000.0,2024-04-10,1.0784605999999999,1.0947187999999999,False,,,
Closed Position,long,1.08388,9979.9998,0.0,2024-01-30,,,,10.0,-0.0002,9979.9998
Open Long,long,1.08388,9977.9998,10000.0,2024-04-10,1.0784605999999999,1.0947187999999999,False,,,
Open Long,long,1.08454,9975.9998,10000.0,2024-04-10,1.0791173,1.0953854,False,,,
Open Long,long,1.08312,9973.9998,10000.0,2024-04-10,1.0777044,1.0939512,False,,,
Open Long,long,1.08206,9971.9998,10000.0,2024-04-10,1.0766497,1.0928806,False,,,
Open Long,long,1.08223,9969.9998,10000.0,2024-04-10,1.07681885,1.0930523,False,,,
Open Long,long,1.08575,9967.9998,10000.0,2024-04-10,1.08032125,1.0966075,False,,,
Open Long,long,1.08497,9965.9998,10000.0,2024-04-10,1.07954515,1.0958197,False,,,
Open Long,long,1.08181,9963.9998,10000.0,2024-04-10,1.07640095,1.0926281,False,,,
Open Long,long,1.08089,9961.9998,10000.0,2024-04-10,1.07548555,1.0916989,False,,,
Open Long,long,1.08027,9959.9998,10000.0,2024-04-10,1.07486865,1.0910727,False,,,
Closed Position,long,1.08027,9959.9996,0.0,2024-02-01,,,,19.0,-0.0002,9959.9996
Open Long,long,1.08027,9957.9996,10000.0,2024-04-10,1.07486865,1.0910727,False,,,
Open Long,long,1.07983,9955.9996,10000.0,2024-04-10,1.0744308500000002,1.0906283,False,,,
Open Long,long,1.08138,9953.9996,10000.0,2024-04-10,1.0759731,1.0921938,False,,,
Open Long,long,1.08727,9951.9996,10000.0,2024-04-10,1.0818336499999999,1.0981427,False,,,
Open Long,long,1.08713,9949.9996,10000.0,2024-04-10,1.08169435,1.0980013,False,,,
Open Long,long,1.08715,9947.9996,10000.0,2024-04-10,1.08171425,1.0980215,False,,,
Open Long,long,1.08775,9945.9996,10000.0,2024-04-10,1.08231125,1.0986275,False,,,
Open Long,long,1.08908,9943.9996,10000.0,2024-04-10,1.0836346000000001,1.0999708000000001,False,,,
Open Long,long,1.08072,9941.9996,10000.0,2024-04-10,1.0753164,1.0915271999999998,False,,,
Open Long,long,1.07833,9939.9996,10000.0,2024-04-10,1.07293835,1.0891133,False,,,
Closed Position,long,1.07833,9939.999399999999,0.0,2024-02-02,,,,28.0,-0.0002,9939.999399999999
Open Long,long,1.07833,9937.999399999999,10000.0,2024-04-10,1.07293835,1.0891133,False,,,
Open Long,long,1.07888,9935.999399999999,10000.0,2024-04-10,1.0734856000000002,1.0896688,False,,,
Open Long,long,1.07782,9933.999399999999,10000.0,2024-04-10,1.0724309,1.0885982,False,,,
Open Long,long,1.0782,9931.999399999999,10000.0,2024-04-10,1.0728090000000001,1.0889820000000001,False,,,
Open Long,long,1.07536,9929.999399999999,10000.0,2024-04-10,1.0699832,1.0861136,False,,,
Open Long,long,1.07374,9927.999399999999,10000.0,2024-04-10,1.0683713,1.0844774,False,,,
Open Long,long,1.07393,9925.999399999999,10000.0,2024-04-10,1.06856035,1.0846693,False,,,
Open Long,long,1.07412,9923.999399999999,10000.0,2024-04-10,1.0687494,1.0848612,False,,,
Open Long,long,1.07452,9921.999399999999,10000.0,2024-04-10,1.0691473999999999,1.0852651999999998,False,,,
Open Long,long,1.07536,9919.999399999999,10000.0,2024-04-10,1.0699832,1.0861136,False,,,
Closed Position,long,1.07536,9919.999199999998,0.0,2024-02-06,,,,37.0,-0.0002,9919.999199999998
Open Long,long,1.07536,9917.999199999998,10000.0,2024-04-10,1.0699832,1.0861136,False,,,
Open Long,long,1.0729,9915.999199999998,10000.0,2024-04-10,1.0675355,1.083629,False,,,
Open Long,long,1.07304,9913.999199999998,10000.0,2024-04-10,1.0676748,1.0837704,False,,,
Open Long,long,1.0751,9911.999199999998,10000.0,2024-04-10,1.0697245,1.085851,False,,,
Open Long,long,1.07549,9909.999199999998,10000.0,2024-04-10,1.0701125500000002,1.0862449,False,,,
Open Long,long,1.07636,9907.999199999998,10000.0,2024-04-10,1.0709781999999999,1.0871236,False,,,
Open Long,long,1.07628,9905.999199999998,10000.0,2024-04-10,1.0708985999999998,1.0870427999999999,False,,,
Open Long,long,1.07693,9903.999199999998,10000.0,2024-04-10,1.0715453499999998,1.0876993,False,,,
Open Long,long,1.07702,9901.999199999998,10000.0,2024-04-10,1.0716349,1.0877902000000002,False,,,
Open Long,long,1.07648,9899.999199999998,10000.0,2024-04-10,1.0710976,1.0872448000000001,False,,,
Closed Position,long,1.07648,9899.998999999998,0.0,2024-02-07,,,,46.0,-0.0002,9899.998999999998
Open Long,long,1.07648,9897.998999999998,10000.0,2024-04-10,1.0710976,1.0872448000000001,False,,,
Open Long,long,1.07735,9895.998999999998,10000.0,2024-04-10,1.07196325,1.0881235,False,,,
Open Long,long,1.07785,9893.998999999998,10000.0,2024-04-10,1.07246075,1.0886285,False,,,
